Company Name,Data Descriptions,Tags,Date,Link,Data Volume
Recievership Specialists,"Financials, HR, Casefiles, court and litigations’ data, Exhibits and evidences, PII and PHI records, Clients’ private & confidential data, Mailboxes & internal and external email correspondence","usa, law.legal","Feb 7, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/receivershipspecialists.com/,N/A
Global Insurance Agency LLC,"Firm’s financials, HR data, Vendors’, partners’, and clients’ private data, PII & PHI records, Mailboxes & internal and external email correspondence, Databases","usa, insurance","Feb 7, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/globalinsurancenj.com/,805 Gb
D-7 Roofing,"Financials, HR, Partners and vendors data, Clients and customers data, Engineering, technologies and drawings, Incidents and accidents data, Mailboxes & internal and external email correspondence, Databases","usa, construction","Feb 7, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/d-7roofing.com/,N/A
Cyrious Software,"Accounting, HR, Clients’ & customers’ data, PII records, Mailboxes & internal and external email correspondence, Databases, Source code","usa, it, software","Feb 7, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cyrioussoftware.com/,812 Tb
Ayres Law Firm,"Financials, HR, Casefiles, Court and litigations’ data, Exhibits and evidences, PII and PHI records, Clients’ private & confidential data, Internal and external email correspondence","usa, law, legal","Feb 7, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/apelderlaw.com/,812 Tb
NESCTC Security Services,"NDA, Financial data, Clients data, Email archive, Business correspondence, Personal data of employees and security guards","us, services","Feb 5, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/nesctc.com/,300 Gb
Hall Chadwick,"Personal Data., Accounting, budget, financial data., Email and msg archives., Contract data and NDA’s., Files from CFO PC., Operational and business files.","us, accounting","Feb 5, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hallchadwick.com.au/,700 Gb
Mizuno (USA),"Finance data, HR data, contracts and confidential agreements, Partners and vendoes data, Clients and customers data, Drawings, Trade secrets & patents, Mailboxes & internal and external email correspondence","usa, manufacturing, sport","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mizunousa.com/,N/A
Mid Florida Primary Care,"Finance data, HR data, Mailboxes & internal and external email correspondence, Multiple atients’ data, PII and PHI records","usa, healthcare, medicine","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mymfpc.com/,900 Gb
Commercial Solutions,"Financials, HR, Partners, vendors, and clients private data, Mailboxes & internal and external email correspondence","usa, business","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/commercialsolutions.com/,N/A
C & R Molds Inc,"Financials, HR, Partners, vendors, and customers data, Engineering and drawings, Mailboxes & internal and external email correspondence","usa, manufacturing","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/crmolds.com/,N/A
American Computer Estimating Inc,"Finance data, HR data, Vendors, partners’, and clients’ private data, Mailboxes & internal and external email correspondence, Databases","usa, insurance","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ace-it.com/,N/A
Alpine Ear Nose & Throat,"Finance data, HR data, Confidential agreements, Mailboxes & internal and external email correspondence, Patients’ records and contacts, Numerous PII and PHI records","usa, healthcare, medicine","Feb 4, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alpineent.com/,N/A
Dash Business,"Firm’s financials, Clients’ financials, Quickbooks data, HR data, Business contracts and agreements, PII and PHI records, Mailboxes & internal and external email correspondence","usa, accounting","Feb 2, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dashbusiness.com/,320 Gb
Growth Acceleration Partners,"Financials, HR, Clients’ & customers’ business and private data, PII & PHI records, Mailboxes & internal and external email correspondence, Databases, Source code","usa, it, software","Jan 31, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/growthaccelerationpartners.com/,N/A
Ayres Law Firm,"Financials, HR, Casefiles, Court and litigations’ data, Exhibits and evidences, PII and PHI records, Clients’ private & confidential data, Internal and external email correspondence","usa, law, legal","Jan 31, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ayreslawfirm.com/,N/A
OFW Law,"Financial data, HR data, Casefiles, Court and litigation’s data, Exhibits and evidences, PII and PHI records, Clients’ private and confidential data","us, lawyers","Jan 29, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ofwlaw.com/,300 Gb
Civic Committee,"Wide financial data, HR, Projects and contracts, Partners’ private & confidential data, Multiple demographic data and portfolios, PII & PHI records, Mailboxes & internal and external email correspondence, Databases","usa, business","Jan 24, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/civiccommittee.org/,1.2 Tb
MedRevenu Inc,"Firm’s financials, Clients’ and customers’ financials, Quickbooks data, HR data, Contracts and agreements, Multiple patients’ PII and PHI records, Mailboxes & internal and external email correspondence, Databases","usa, medicine","Jan 22, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/medrevenu.com/,N/A
Medical Associates of Brevard,"Accounting, HR, Numerous PII and PHI records, Private data of partners, vendors, and providers, Mailboxes, Internal and external email correspondence, Databases","usa, medicine, healthcare","Jan 22, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mabmd.com/,N/A
MassDevelopment,"Accounting, budget, financial data., Personal Data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, finance","Jan 17, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/massdevelopment.com/,4 Tb
Fish Nelson & Holden,"Medical and lab tests client’s files., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from Top management PC., Operational and business files., Email and msg archives.","us, law","Dec 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/fishnelson.com/,1 Tb
LTI Trucking Services,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, transportation","Dec 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ltitrucking.com/,1.2 Tb
Kellerhals Ferguson Kroblin PLLC,"Clients Personal Data., Employees Personal Data, Accounting Data, Network users folders, Mailboxes","usa, lawyers","Dec 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/kellfer.com/,170 Gb
St Clair Orthopaedics and Sports Medicine P.C.,"370 Gb: client medical and personal data, employees personal data, network users folders., 850 Gb: SQL Databases (full) whith personal and medical data, 20 Gb: Medical data from “Hospital access PACS” potrals.","usa, health","Dec 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/stclairortho.com/,1.2 Tb
