Company_Name,Sector,Industry_Group,Country_of_Origin,Type_of_Data_Stolen,Date,Data_Volume,Data_Volume_GB
Recievership Specialists,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data (if applicable - depending on the nature of ""court and litigations' data""), Communication & Social Data","Feb 7, 2025",0,0
Global Insurance Agency LLC,Financials,Insurance,United States,"Financial & Payment Data, Personal Identifiable Information (PII), Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 7, 2025",805 Gb,805
D-7 Roofing,Industrials,Construction,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Feb 7, 2025",0,0
Cyrious Software,Information Technology,Software,United States,"Authentication & Credential Data, Personal Identifiable Information, Corporate & Business Data, Communication & Social Data, Intellectual Property (IP) & Research Data, System & Infrastructure Data","Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data (if the government or military is a client), Communication & Social Data","Feb 7, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data (if the government or military is a client), Communication & Social Data","Feb 7, 2025",0,0
NESCTC Security Services,Consumer Discretionary,Diversified Consumer Services,United States,"Authentication & Credential Data, Financial & Payment Data, Personal Identifiable Information, Corporate & Business Data, Communication & Social Data","Feb 5, 2025",300 Gb,300
Hall Chadwick,Financials,Financial Services,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, Intellectual Property (IP) & Research Data","Feb 5, 2025",700 Gb,700
Mizuno (USA),Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data","Feb 4, 2025",0,0
Mid Florida Primary Care,Health Care,Health Care Providers,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data","Feb 4, 2025",900 Gb,900
Commercial Solutions,Information Technology,Software & Services,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, Personal Identifiable Information","Feb 4, 2025",0,0
C & R Molds Inc,Industrials,Industrial Conglomerates,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Intellectual Property (IP) & Research Data, Communication & Social Data","Feb 4, 2025",0,0
American Computer Estimating Inc,Financials,Insurance,United States,"Authentication & Credential Data, Financial & Payment Data, Corporate & Business Data, Communication & Social Data, Personal Identifiable Information","Feb 4, 2025",0,0
Alpine Ear Nose & Throat,Health Care,Health Care Providers & Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data","Feb 4, 2025",0,0
Dash Business,Financials,Financial Services,United States,"Financial & Payment Data, Corporate & Business Data, Personal Identifiable Information (PII), Medical & Health Records (PHI), Communication & Social Data","Feb 2, 2025",320 Gb,320
Growth Acceleration Partners,Information Technology,Software & Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Communication & Social Data, System & Infrastructure Data","Jan 31, 2025",0,0
Ayres Law Firm,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data (if the data involves government agencies or military personnel), Communication & Social Data","Jan 31, 2025",812 Tb,831488
Ayres Law Firm,Financials,Financial Services,United States,"Authentication & Credential Data, Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data (if the data involves government agencies or military personnel), Communication & Social Data","Jan 31, 2025",0,0
OFW Law,Financials,Financial Services,United States,"Personal Identifiable Information (PII), Financial & Payment Data, Medical & Health Records (PHI), Corporate & Business Data, Government & Military Data","Jan 29, 2025",300 Gb,300
