Company Name,Visits,Data Size,Date,Link,Company Details
snoqualmietribe.us,632,426 GB,13/2/2025 12:49,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/0a5f031c-09e9-44ec-bb7d-f08a0e123e4a/,"The Snoqualmie Tribal People are proud of our determination, tenacity and our strength. We honor our ancestors, our cultural traditions and our sacred places. Serving our own as we should all with respect and honor, we acknowledge the great progress we have made toward our goals while recognizing that work remains to be done by healing our land, restoring our spirits, and uniting our nation to provide our families with education, health care and homes.Information about some of the documents:Document 1The document is a Services Agreement for the development of a retail cannabis website between Snoqualmie Indian Tribeand private contractor Justus Brown. The agreement governs the terms and conditions for the development and maintenance of a website for the online booking of cannabis.Document 2The document is the Snoqualmie Indian Tribe's confidential financial statements for May 2024 and contains detailed information about the tribe's cash flow,balance sheet and transactions, as well as information about the banks in which the tribe's assets are deposited.Document 3The document is a Visa credit card statement for January 2025. It contains information about transactions, payments, balance,balance, credit limit, and other financial transactions of the cardholder, as well as payment details.Document 4The document is the official decision of the Snoqualmie Tribal Council to take legal action against taxing authorities to challenge assessed taxes on tribal-owned property.Document 5The document is the Snoqualmie Tribe's formal application to file a legal petition with the U.S. Supreme Court to overturn a court decision stripping the tribe of its traditional hunting and gathering rights."
twncomm.com,1358,160 GB,12/2/2025 12:15,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/4476c433-4596-400a-bcf0-dd7d945cf868/,"TWN Communications provides high-speed internet and phone services for residential, small business, and enterprise customers. They focus on reliability, offering fast speeds and responsive customer support. Their partnerships with electric cooperatives ensure enhanced service in various communities. They offer tailored solutions for everyday internet needs like streaming, gaming, and business operations."
thejdkgroup.com,1345,648 GB,12/2/2025 12:15,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/525cc737-d0b0-4f3c-a915-65b002e8de92/,"The JDK Group is a full-service event planning and catering company based in Harrisburg, Pennsylvania. Specializing in both corporate and social events, they offer services like catering, floral design, and event coordination. With over 25 years in the industry, the company is known for its personalized approach, crafting memorable experiences for weddings, galas, and private parties. They are dedicated to ensuring each event is flawlessly executed, providing a wide range of venue options and custom-designed services."
sundanceliving.com,1268,241 GB,12/2/2025 12:14,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/61afc743-3c15-492d-bae4-38959b1b3278/,"Sundance Living, previously known as Sundance Catalog, offers a curated selection of women’s apparel, jewelry, shoes, accessories, and home decor. The company emphasizes handcrafted, unique pieces, showcasing collections inspired by both Western and contemporary styles. Their offerings also include personalized gifts, seasonal decor, and exclusive home items."
rogerspetro.com,1250,92 GB,12/2/2025 12:13,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/9ca63b25-e8ca-43b2-b0b2-b29043a6a744/,"Rogers Petroleum is a petroleum distribution company serving the Southeastern U.S. It provides a comprehensive range of services, including wholesale fuel distribution, tank wagon fueling, biofuels, and fuel management solutions. The company also offers equipment maintenance, environmental services, and 24/7 delivery to commercial and retail clients. Rogers Petroleum emphasizes safety, compliance, and customer satisfaction, aiming to be a one-stop provider for all petroleum needs."
minnesotaexteriors.com,1306,258 GB,12/2/2025 12:13,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/b7268375-d790-43ac-b3a3-7e8f16e019e7/,"Minnesota Exteriors is a family-owned company, operating since 1947, specializing in residential and commercial exterior services. They offer a wide range of services including roofing, siding, windows, gutters, insulation, and storm damage restoration. Known for quality workmanship, they provide lifetime warranties on installations. Minnesota Exteriors is committed to delivering top-tier products and services, ensuring customer satisfaction with each project."
laderalending.com,1282,339 GB,12/2/2025 12:12,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/8e4d7ff0-9048-4328-860c-42ccc9417967/,"Ladera Lending, based in Ladera Ranch, CA, provides personalized mortgage solutions, offering services like home purchases, refinancing, and debt consolidation. The company is committed to offering competitive rates, transparent communication, and excellent customer service. They focus on providing tailored loan options for clients, helping them navigate the mortgage process with ease."
krmcustomhomes.com,1230,80 GB,12/2/2025 12:10,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/9bad2681-9040-460b-8e51-481c27775fd7/,"KRM Custom Homes is a custom home builder located in the Des Moines metro area, specializing in creating homes tailored to clients’ unique tastes and lifestyles. The company is known for its commitment to exceptional customer service and attention to detail throughout the entire home-building process. They offer personalized solutions to match individual needs and preferences, ensuring a stress-free experience for homebuyers."
ekvallbyrne.com,1246,1.1 TB,12/2/2025 12:09,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/3eaab815-c173-4add-87c3-025f18efe2d9/,"Ekvall & Byrne is a law firm established in 1999, specializing in various areas including transportation liability, auto liability, insurance coverage, premises liability, and business litigation. They focus on providing clear communication and cost-effective legal strategies for their clients, ensuring that each case is handled efficiently. The firm is known for its client-centered approach, prioritizing results based on the clients' desired outcomes."
columbiacabinets.com,1278,198 GB,12/2/2025 12:08,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/cd1de889-c2f4-471f-aa21-5b6539b4f748/,"Columbia Cabinets offers a diverse selection of kitchen cabinetry, ranging from contemporary to traditional styles. They emphasize sustainability with their green cabinetry options and environmental stewardship certifications. The company is also committed to supporting both local and global communities through charitable efforts."
