Company Name,Visits,Data_Volume,Date,Type_of_Data_Stolen,Sector,Industry_Group,Country_of_Origin,Data_Volume_GB
snoqualmietribe.us,632,426 GB,13/2/2025,Financial & Payment Data,Consumer Staples,Tobacco,United States,426.0
snoqualmietribe.us,632,426 GB,13/2/2025,Corporate & Business Data,Consumer Staples,Tobacco,United States,426.0
snoqualmietribe.us,632,426 GB,13/2/2025,Legal & Regulatory Data,Consumer Staples,Tobacco,United States,426.0
twncomm.com,1358,160 GB,12/2/2025,Corporate & Business Data,Communication Services,Telecommunication Services,Taiwan,160.0
twncomm.com,1358,160 GB,12/2/2025,System & Infrastructure Data,Communication Services,Telecommunication Services,Taiwan,160.0
twncomm.com,1358,160 GB,12/2/2025,Communication & Social Data,Communication Services,Telecommunication Services,Taiwan,160.0
thejdkgroup.com,1345,648 GB,12/2/2025,Corporate & Business Data,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,648.0
sundanceliving.com,1268,241 GB,12/2/2025,Personal Identifiable Information (PII),Consumer Discretionary,Multiline Retail,United States,241.0
sundanceliving.com,1268,241 GB,12/2/2025,Financial & Payment Data,Consumer Discretionary,Multiline Retail,United States,241.0
rogerspetro.com,1250,92 GB,12/2/2025,Corporate & Business Data,Energy,Energy Equipment & Services,Canada,92.0
minnesotaexteriors.com,1306,258 GB,12/2/2025,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,258.0
laderalending.com,1282,339 GB,12/2/2025,Financial & Payment Data,Financials,Banks,United States,339.0
krmcustomhomes.com,1230,80 GB,12/2/2025,Corporate & Business Data,Consumer Discretionary,Homebuilding,United States,80.0
ekvallbyrne.com,1246,1.1 TB,12/2/2025,Corporate & Business Data,Financials,Insurance,Sweden,1126.4
columbiacabinets.com,1278,198 GB,12/2/2025,Corporate & Business Data,Consumer Discretionary,Household Durables,United States,198.0
burdickpainting.com,1276,482 GB,12/2/2025,Corporate & Business Data,Industrials,Commercial Services & Supplies,United States,482.0
bergconst.com,1181,573 GB,12/2/2025,Corporate & Business Data,Industrials,Construction & Engineering,United States,573.0
steveallcorn.remax.com,1210,56 GB,12/2/2025,Personal Identifiable Information (PII),Financials,Real Estate,United States,56.0
alderconstruction.com,1233,201 GB,12/2/2025,Corporate & Business Data,Industrials,Construction & Engineering,United States,201.0
weathersa.co.za,1320,59GB,12/2/2025,Government & Military Data,Industrials,Commercial Services & Supplies,South Africa,59.0
weathersa.co.za,1320,59GB,12/2/2025,System & Infrastructure Data,Industrials,Commercial Services & Supplies,South Africa,59.0
slchc.edu,1230,38 GB,12/2/2025,Personal Identifiable Information (PII),Consumer Discretionary,Education Services,United States,38.0
slchc.edu,1230,38 GB,12/2/2025,Financial & Payment Data,Consumer Discretionary,Education Services,United States,38.0
slchc.edu,1230,38 GB,12/2/2025,Corporate & Business Data,Consumer Discretionary,Education Services,United States,38.0
www.jsp.com,2606,400 GB,4/2/2025,Personal Identifiable Information (PII),Materials,Chemicals,Japan,400.0
www.jsp.com,2606,400 GB,4/2/2025,Authentication & Credential Data,Materials,Chemicals,Japan,400.0
primesourcestaffing.com,2329,90 GB,10/2/2025,Corporate & Business Data,Industrials,Human Resources & Employment Services,United States,90.0
primesourcestaffing.com,2329,90 GB,10/2/2025,Financial & Payment Data,Industrials,Human Resources & Employment Services,United States,90.0
kaplanstahler.com,2358,29 gb,10/2/2025,Corporate & Business Data,Financials,Insurance,United States,29.0
sdfab.com,2319,333 gb,10/2/2025,Corporate & Business Data,Industrials,Building Products,USA,333.0
bazcooil.com,2389,63 GB,10/2/2025,Corporate & Business Data,Energy,Energy Equipment & Services,United States,63.0
komline.com,2417,109 gb,10/2/2025,Corporate & Business Data,Industrials,Machinery,United States,109.0
komline.com,2417,109 gb,10/2/2025,System & Infrastructure Data,Industrials,Machinery,United States,109.0
wwcsd.net,3551,4 TB,9/2/2025,Personal Identifiable Information (PII),Consumer Discretionary,Consumer Services,United States,4096.0
wwcsd.net,3551,4 TB,9/2/2025,Authentication & Credential Data,Consumer Discretionary,Consumer Services,United States,4096.0
wwcsd.net,3551,4 TB,9/2/2025,System & Infrastructure Data,Consumer Discretionary,Consumer Services,United States,4096.0
Hpisd.org,3359,1 TB,9/2/2025,Personal Identifiable Information (PII),Consumer Discretionary,Consumer Services,United States,1024.0
Hpisd.org,3359,1 TB,9/2/2025,Authentication & Credential Data,Consumer Discretionary,Consumer Services,United States,1024.0
sautech.edu,4961,252 GB,7/2/2025,System & Infrastructure Data,Consumer Discretionary,Consumer Services,United States,252.0
teamues.com,4782,200 GB,6/2/2025,Corporate & Business Data,Industrials,Commercial & Professional Services,United States,200.0
sportadmin.se,6410,300 GB,4/2/2025,Personal Identifiable Information (PII),Information Technology,Software,Sweden,300.0
sportadmin.se,6410,300 GB,4/2/2025,Financial & Payment Data,Information Technology,Software,Sweden,300.0
sportadmin.se,6410,300 GB,4/2/2025,Authentication & Credential Data,Information Technology,Software,Sweden,300.0
sportadmin.se,6410,300 GB,4/2/2025,Corporate & Business Data,Information Technology,Software,Sweden,300.0
sportadmin.se,6410,300 GB,4/2/2025,System & Infrastructure Data,Information Technology,Software,Sweden,300.0
www.manpower.com,11710,500 GB,22/1/2025,Personal Identifiable Information (PII),Industrials,Human Resource & Employment Services,United States,500.0
